job_title,education,experience,salary
Cloud Architect,Master,5.7,209265.25
Data Engineer,High School,5.4,179768.5
AI Researcher,Master,2.8,176925.14
DevOps Engineer,Bachelor,6.0,175826.59
AI Researcher,Master,5.3,214420.04
Software Engineer,Bachelor,2.5,124041.83
ML Engineer,Bachelor,5.2,204205.5
AI Researcher,PhD,3.1,199021.14
AI Researcher,Bachelor,4.0,188200.74
ML Engineer,PhD,5.9,212907.79
AI Researcher,High School,3.3,182133.68
AI Researcher,PhD,5.3,223601.74
AI Researcher,Master,4.2,198971.96
Backend Developer,Bachelor,3.9,143567.61
Cloud Architect,Bachelor,5.5,214891.36
AI Researcher,PhD,4.9,215634.48
Cloud Architect,Master,4.6,205092.86
Data Scientist,Bachelor,6.0,192678.04
Cloud Architect,Bachelor,3.1,186977.4
Data Engineer,Bachelor,3.0,143816.67
Backend Developer,Master,4.5,147704.98
Cloud Architect,Bachelor,4.1,193319.33
Data Engineer,Master,2.2,133480.75
Software Engineer,Bachelor,4.9,161102.64
DevOps Engineer,Master,9.0,194795.23
AI Researcher,Bachelor,5.1,197307.99
AI Researcher,Master,5.0,200091.91
Data Engineer,Master,6.4,183151.0
Data Engineer,Bachelor,6.5,186957.06
DevOps Engineer,Bachelor,2.4,126090.87
Data Scientist,Master,3.3,161347.49
AI Researcher,Master,3.1,169675.15
Cloud Architect,Master,3.7,200095.4
ML Engineer,PhD,4.6,203123.72
Cloud Architect,High School,5.5,212335.5
DevOps Engineer,Master,6.6,181558.04
ML Engineer,PhD,5.5,217110.59
AI Researcher,Master,6.4,217931.66
Cloud Architect,PhD,3.5,191164.88
Cloud Architect,PhD,4.0,202944.24
Software Engineer,Bachelor,5.7,178640.12
Cloud Architect,Bachelor,5.0,207399.39
Data Scientist,Bachelor,4.9,180886.06
Software Engineer,Master,5.2,158437.67
ML Engineer,Bachelor,4.4,190507.09
DevOps Engineer,PhD,1.9,138973.44
AI Researcher,Master,0.8,146785.33
Data Scientist,Master,4.8,174008.71
AI Researcher,Master,6.2,227363.79
Backend Developer,Master,4.7,160379.47
Cloud Architect,Master,7.4,251286.12
AI Researcher,Bachelor,7.7,236896.26
Data Engineer,PhD,3.0,158577.85
ML Engineer,High School,5.4,210372.2
Cloud Architect,Bachelor,7.0,248916.11
Backend Developer,Master,6.3,168110.15
Backend Developer,Bachelor,3.9,135519.99
AI Researcher,High School,8.5,245908.23
ML Engineer,Master,4.9,190849.39
DevOps Engineer,Bachelor,6.0,167502.78
DevOps Engineer,PhD,1.1,132480.48
Data Scientist,Master,7.0,208019.3
Data Engineer,Master,5.6,188268.46
Software Engineer,Master,6.7,185803.63
Data Engineer,Master,5.9,184256.71
ML Engineer,Master,7.0,220514.37
Software Engineer,Bachelor,7.8,199150.39
DevOps Engineer,Master,1.1,115315.61
Cloud Architect,Master,0.2,151769.51
Data Engineer,Bachelor,5.2,171482.55
ML Engineer,Bachelor,1.8,146425.71
Data Scientist,Bachelor,8.6,230273.72
AI Researcher,PhD,1.3,167156.64
Data Engineer,Master,6.7,184496.02
AI Researcher,Bachelor,3.6,176571.28
DevOps Engineer,Master,4.0,152563.39
Backend Developer,Bachelor,4.9,148554.96
Backend Developer,High School,5.3,148657.01
Backend Developer,Bachelor,7.0,175777.82
Data Engineer,Bachelor,6.8,195399.48
Software Engineer,High School,4.8,169351.38
AI Researcher,Bachelor,6.9,228380.63
Cloud Architect,Bachelor,4.5,205476.02
Data Scientist,PhD,5.7,201865.16
DevOps Engineer,High School,0.4,110500.03
DevOps Engineer,PhD,4.6,169443.35
Backend Developer,High School,2.4,128175.91
ML Engineer,Master,1.0,141233.33
Cloud Architect,Master,5.7,218419.74
Data Engineer,Bachelor,7.2,203594.8
Backend Developer,Master,3.7,123050.78
DevOps Engineer,High School,5.0,148497.7
Software Engineer,PhD,5.9,180273.19
DevOps Engineer,PhD,7.9,203037.3
AI Researcher,Master,2.6,175503.69
Backend Developer,PhD,6.6,173642.66
ML Engineer,PhD,5.3,206529.12
ML Engineer,High School,8.6,243985.7
DevOps Engineer,Bachelor,6.2,181529.64
AI Researcher,Bachelor,7.5,238443.05
Data Engineer,Bachelor,4.7,167169.36
Software Engineer,Bachelor,4.5,161156.55
Data Scientist,Master,4.6,174769.98
Cloud Architect,Bachelor,0.4,138821.35
Cloud Architect,PhD,5.5,231888.35
AI Researcher,Bachelor,4.9,203645.64
Cloud Architect,High School,5.2,204299.94
Software Engineer,PhD,4.9,175093.37
ML Engineer,PhD,4.9,199582.45
Data Engineer,Master,3.6,158488.01
Data Engineer,Master,6.2,184559.0
DevOps Engineer,Master,3.7,146627.48
Software Engineer,High School,2.9,145117.47
Data Engineer,Bachelor,5.9,194843.69
Backend Developer,Bachelor,5.4,152575.33
Backend Developer,Master,4.9,151261.84
AI Researcher,PhD,7.5,254103.96
Data Scientist,Bachelor,8.8,219255.27
DevOps Engineer,Master,2.7,128846.02
Backend Developer,Bachelor,5.2,157174.07
AI Researcher,PhD,4.5,208092.97
Data Engineer,Bachelor,4.6,165326.71
Data Scientist,High School,7.2,208020.77
Cloud Architect,PhD,7.3,254533.86
DevOps Engineer,Bachelor,0.7,114799.42
ML Engineer,Bachelor,3.1,172779.47
Software Engineer,Bachelor,10.9,235769.44
Data Engineer,Master,7.2,201027.64
DevOps Engineer,Bachelor,4.7,151598.83
Cloud Architect,PhD,4.6,216289.91
Cloud Architect,Master,5.0,212621.22
Data Scientist,PhD,8.5,236022.02
Data Scientist,PhD,4.3,178973.68
DevOps Engineer,Master,6.2,178984.23
Cloud Architect,Master,4.5,202196.94
AI Researcher,Bachelor,6.0,214013.27
Backend Developer,PhD,4.9,153602.95
Cloud Architect,Bachelor,5.6,219388.41
Data Engineer,Bachelor,5.9,185215.14
Backend Developer,Bachelor,7.7,169816.5
Data Engineer,Bachelor,6.9,199008.56
Data Engineer,High School,6.7,190783.17
Backend Developer,High School,5.8,157847.81
Backend Developer,Bachelor,3.0,132794.08
Data Scientist,Master,3.8,170304.51
Backend Developer,Master,3.6,130903.0
Data Engineer,Master,3.9,164597.54
Data Scientist,PhD,9.7,247866.89
DevOps Engineer,Bachelor,4.0,143342.48
Cloud Architect,Master,4.9,209187.33
Software Engineer,PhD,9.2,220065.52
Backend Developer,PhD,8.7,203817.19
Software Engineer,PhD,4.5,170187.75
AI Researcher,Bachelor,5.4,212729.84
Cloud Architect,Master,6.1,234878.58
Backend Developer,High School,1.4,115194.57
Data Scientist,PhD,8.4,233833.49
Data Scientist,PhD,6.2,200160.35
Backend Developer,Bachelor,2.7,123177.65
Data Scientist,PhD,4.7,195507.48
Software Engineer,Master,4.2,149979.3
ML Engineer,Master,4.5,191269.33
ML Engineer,Master,5.2,196696.58
Cloud Architect,Bachelor,5.4,221073.15
Cloud Architect,Bachelor,5.5,209470.16
Backend Developer,High School,0.4,106544.42
Backend Developer,Bachelor,4.7,143843.99
Data Engineer,Master,4.7,170049.69
Data Scientist,Bachelor,3.3,158765.83
Data Engineer,Bachelor,1.9,134611.69
Backend Developer,Bachelor,4.0,142689.67
Cloud Architect,PhD,9.6,290017.99
Cloud Architect,PhD,4.7,217880.26
Backend Developer,High School,5.3,157461.85
Data Engineer,Bachelor,4.9,178580.71
Backend Developer,Master,5.8,156304.09
Backend Developer,Bachelor,3.1,136778.91
Data Engineer,Bachelor,5.8,173483.1
DevOps Engineer,Master,4.6,147371.21
ML Engineer,Master,2.7,160594.9
DevOps Engineer,Master,5.1,166385.89
Cloud Architect,High School,3.3,179972.3
Data Scientist,Bachelor,6.7,211496.31
AI Researcher,Bachelor,6.7,226618.25
Backend Developer,Bachelor,3.4,134115.03
Backend Developer,Bachelor,2.7,126391.93
Data Scientist,Master,7.2,205567.7
Data Engineer,Master,4.6,174523.73
DevOps Engineer,Master,5.1,158726.66
DevOps Engineer,Master,1.9,125761.28
Cloud Architect,PhD,5.4,232978.03
Data Engineer,PhD,3.6,166075.14
AI Researcher,Bachelor,6.8,236869.18
Software Engineer,Master,6.0,173106.47
ML Engineer,Master,7.7,245030.51
DevOps Engineer,Bachelor,5.7,159916.86
Data Scientist,Master,3.9,166765.76
Cloud Architect,Bachelor,6.9,234525.94
AI Researcher,Bachelor,9.3,253709.24
Backend Developer,Master,1.6,121015.6
DevOps Engineer,Bachelor,4.8,152582.51
ML Engineer,Master,6.5,208945.19
Software Engineer,PhD,4.4,159930.09
ML Engineer,Master,3.4,175991.88
Data Scientist,Master,2.7,152890.76
Backend Developer,Bachelor,3.5,135322.9
Software Engineer,Bachelor,5.4,170066.97
Cloud Architect,Bachelor,3.9,192436.6
Data Scientist,Master,2.6,146708.51
AI Researcher,Bachelor,7.9,240358.14
ML Engineer,High School,4.0,183423.64
DevOps Engineer,PhD,7.7,195543.84
Backend Developer,Bachelor,3.9,142917.49
Data Engineer,Master,6.8,182814.64
Software Engineer,Bachelor,3.3,139102.93
Data Scientist,Master,4.7,180958.38
ML Engineer,Bachelor,5.3,203447.42
Data Scientist,High School,4.2,166281.03
Data Engineer,High School,3.9,160687.44
Software Engineer,Bachelor,3.9,164344.46
ML Engineer,Master,5.9,206959.83
Software Engineer,Master,3.1,140776.3
Backend Developer,PhD,5.6,168081.95
AI Researcher,Master,7.8,240781.52
Software Engineer,Master,5.9,171949.53
Cloud Architect,Bachelor,5.9,217997.02
Cloud Architect,High School,6.7,238386.8
Cloud Architect,Master,3.2,194823.9
DevOps Engineer,Bachelor,3.8,150567.2
AI Researcher,PhD,7.5,250376.97
AI Researcher,Master,7.2,227445.79
Backend Developer,Master,5.5,157782.18
Data Engineer,PhD,4.5,184718.88
Data Engineer,Master,8.0,206072.48
Software Engineer,Master,3.2,142577.88
Cloud Architect,Master,6.9,231805.6
Backend Developer,Bachelor,4.8,137268.08
Software Engineer,PhD,4.9,179752.17
Software Engineer,Bachelor,2.8,152704.28
DevOps Engineer,PhD,5.6,177811.69
Software Engineer,Master,5.9,172201.23
Data Engineer,PhD,5.6,191159.52
Data Engineer,High School,5.3,175048.51
Data Engineer,Bachelor,2.0,138452.29
Data Engineer,Master,2.7,150800.31
Backend Developer,High School,3.3,137746.21
ML Engineer,Master,2.8,164609.85
Software Engineer,Bachelor,3.1,147599.34
Cloud Architect,Bachelor,3.3,190199.38
AI Researcher,Bachelor,7.0,236273.68
Cloud Architect,Bachelor,7.0,240666.52
ML Engineer,High School,6.8,216923.07
DevOps Engineer,Bachelor,3.1,140739.61
Data Scientist,Bachelor,5.0,175599.04
Data Scientist,Master,5.6,181576.49
AI Researcher,Bachelor,9.1,261304.48
Data Engineer,Master,10.1,223490.93
AI Researcher,Master,1.3,158491.75
AI Researcher,High School,5.9,222887.97
Data Scientist,PhD,1.1,133628.46
ML Engineer,Bachelor,3.5,170867.12
Backend Developer,Master,4.0,142025.31
DevOps Engineer,Master,2.5,120081.77
AI Researcher,PhD,5.2,213992.57
Data Scientist,PhD,6.5,205408.01
Backend Developer,PhD,5.9,166884.42
Software Engineer,PhD,9.9,234369.21
Data Scientist,Bachelor,5.3,172598.84
Backend Developer,Master,2.8,120922.97
ML Engineer,Bachelor,0.8,140228.77
ML Engineer,Bachelor,6.0,204692.08
DevOps Engineer,High School,4.5,150061.39
Backend Developer,Master,5.9,155030.7
AI Researcher,Bachelor,7.8,239856.16
ML Engineer,Bachelor,6.2,209531.97
Cloud Architect,Bachelor,3.7,185799.54
AI Researcher,High School,3.4,168521.78
Backend Developer,Bachelor,4.8,138580.0
Software Engineer,PhD,5.6,184575.51
Cloud Architect,High School,6.4,228984.21
Backend Developer,Bachelor,4.4,141265.37
Backend Developer,Master,5.5,152311.73
DevOps Engineer,PhD,0.4,112375.98
Cloud Architect,Master,5.8,214603.49
DevOps Engineer,Master,5.6,149542.94
ML Engineer,PhD,5.5,217666.58
Data Scientist,PhD,5.4,191894.49
ML Engineer,High School,2.5,158995.5
ML Engineer,Master,1.4,147060.75
Data Engineer,PhD,5.6,193186.68
Data Engineer,PhD,4.6,174724.48
Cloud Architect,Master,7.0,236626.65
Backend Developer,Bachelor,6.0,158523.17
ML Engineer,Master,5.3,193889.32
Cloud Architect,Bachelor,8.1,251150.7
DevOps Engineer,High School,8.6,196514.66
Data Scientist,PhD,1.6,155183.26
Software Engineer,Bachelor,4.3,150939.65
ML Engineer,Bachelor,4.7,193082.18
Backend Developer,Master,4.4,141037.04
Software Engineer,Master,4.7,161460.57
Data Scientist,Bachelor,1.4,135256.63
Backend Developer,High School,1.9,108583.8
AI Researcher,Bachelor,8.0,237045.41
Backend Developer,Bachelor,3.5,131020.23
DevOps Engineer,Bachelor,6.0,170828.56
Cloud Architect,Bachelor,3.9,189613.3
Data Scientist,Bachelor,7.9,208027.54
DevOps Engineer,Bachelor,10.2,214375.93
Cloud Architect,Master,4.8,212988.85
ML Engineer,Master,4.5,189921.17
Data Scientist,High School,6.5,200701.33
DevOps Engineer,Master,2.8,134238.47
DevOps Engineer,Bachelor,6.6,174547.64
AI Researcher,Bachelor,6.7,227833.73
Data Scientist,Bachelor,8.9,221887.44
Cloud Architect,Master,4.8,204084.35
Data Engineer,High School,3.7,156654.54
DevOps Engineer,Bachelor,7.0,186746.18
Data Engineer,Bachelor,3.5,155531.57
Data Scientist,Bachelor,4.3,161557.61
Backend Developer,Master,5.9,169614.12
Data Engineer,Bachelor,3.2,152278.02
Data Engineer,Bachelor,2.6,143256.92
DevOps Engineer,Master,7.2,179481.3
Software Engineer,Master,5.9,175614.92
ML Engineer,PhD,0.8,151589.45
ML Engineer,Bachelor,6.5,218590.37
Cloud Architect,Master,8.1,265849.66
Data Scientist,PhD,2.5,159207.11
Software Engineer,Master,5.3,165563.67
Data Scientist,Bachelor,5.0,178776.19
ML Engineer,Bachelor,5.4,195224.31
AI Researcher,Master,8.0,241476.87
AI Researcher,Master,4.9,205815.11
Backend Developer,Master,5.8,153279.86
Cloud Architect,High School,5.1,220671.26
Data Engineer,Bachelor,6.8,198274.49
DevOps Engineer,PhD,4.6,155426.24
AI Researcher,Bachelor,7.8,245165.95
Software Engineer,Bachelor,3.2,147369.92
AI Researcher,PhD,4.1,193213.99
ML Engineer,Master,6.4,214757.19
DevOps Engineer,Bachelor,0.0,101888.36
Data Engineer,Bachelor,2.8,150761.82
Data Engineer,Bachelor,4.4,160769.88
Data Scientist,Bachelor,2.3,148206.99
AI Researcher,PhD,4.6,206373.24
Cloud Architect,Master,6.1,231744.79
Data Scientist,Bachelor,4.6,177636.21
ML Engineer,High School,5.9,207618.46
AI Researcher,Master,8.9,260300.36
AI Researcher,High School,5.1,202188.54
Data Engineer,Master,2.3,138755.25
Data Scientist,High School,5.5,187072.13
Cloud Architect,Bachelor,8.7,250560.82
DevOps Engineer,Bachelor,4.7,154044.17
Backend Developer,PhD,3.2,152620.99
Backend Developer,Bachelor,8.2,177822.69
Cloud Architect,PhD,5.0,219855.66
Data Engineer,Master,3.4,143359.59
Software Engineer,Master,4.9,155044.01
DevOps Engineer,Bachelor,6.7,166703.01
Data Scientist,Master,5.4,180909.38
DevOps Engineer,PhD,2.9,150892.37
Cloud Architect,PhD,10.1,294004.37
ML Engineer,Master,1.1,153463.51
DevOps Engineer,Bachelor,5.0,157707.05
Data Scientist,Master,8.2,215940.78
Software Engineer,Master,4.5,167207.95
ML Engineer,Master,4.6,191721.72
Backend Developer,Bachelor,2.0,120724.21
DevOps Engineer,Master,6.8,173488.39
DevOps Engineer,Bachelor,4.8,161903.97
Data Engineer,Master,6.7,193253.53
AI Researcher,Master,3.6,185804.99
Data Scientist,Bachelor,2.6,147193.23
Backend Developer,Master,6.8,160315.71
Cloud Architect,PhD,3.0,205702.34
Cloud Architect,High School,5.7,216890.46
Data Scientist,Master,5.9,193780.01
DevOps Engineer,PhD,4.2,157433.33
Cloud Architect,Bachelor,2.5,183850.31
DevOps Engineer,PhD,2.5,137211.67
ML Engineer,Master,2.7,162574.26
Data Engineer,Bachelor,4.9,172320.75
Backend Developer,Master,3.0,134069.99
AI Researcher,Bachelor,3.3,175299.8
Backend Developer,Master,7.3,175893.32
Backend Developer,Master,5.3,147011.98
Backend Developer,Master,9.7,195785.21
DevOps Engineer,PhD,2.7,147627.75
Data Scientist,Master,7.8,219777.32
Cloud Architect,PhD,7.2,257193.52
ML Engineer,Bachelor,2.9,161207.45
Cloud Architect,Master,3.0,185391.72
Cloud Architect,Bachelor,3.4,185405.62
Backend Developer,Master,6.6,158140.04
DevOps Engineer,PhD,3.1,146328.07
Data Scientist,High School,6.3,192656.67
Software Engineer,Master,7.3,191490.64
Backend Developer,PhD,6.5,170491.9
Software Engineer,PhD,5.3,188079.86
Data Scientist,Bachelor,5.2,182490.08
DevOps Engineer,PhD,2.1,134526.56
AI Researcher,Master,5.2,196366.92
Backend Developer,Master,4.9,141988.94
DevOps Engineer,High School,4.3,152753.91
AI Researcher,PhD,4.3,203759.96
Software Engineer,High School,4.9,167415.24
Cloud Architect,Bachelor,6.5,238447.04
Data Engineer,Master,6.9,200332.69
Software Engineer,PhD,1.7,141353.16
AI Researcher,Bachelor,4.1,200239.35
Software Engineer,Bachelor,5.4,166618.94
ML Engineer,PhD,6.1,217783.03
DevOps Engineer,PhD,8.6,206120.27
DevOps Engineer,Master,3.9,136044.29
Software Engineer,Bachelor,8.4,206343.76
Backend Developer,Bachelor,2.3,115586.5
Software Engineer,High School,5.3,172571.59
ML Engineer,PhD,3.5,193677.61
AI Researcher,PhD,6.2,234790.43
Software Engineer,Bachelor,7.5,191957.83
Data Engineer,Bachelor,5.7,184126.54
Backend Developer,Master,3.6,134385.15
DevOps Engineer,Bachelor,3.5,150024.32
Data Engineer,High School,5.5,180516.47
DevOps Engineer,Master,1.7,119016.75
Cloud Architect,Master,3.7,189848.96
Data Scientist,Master,3.3,160781.86
Backend Developer,Bachelor,6.5,160263.96
Backend Developer,High School,8.7,190353.93
Cloud Architect,High School,2.8,180935.78
Data Engineer,Bachelor,5.1,176076.12
AI Researcher,Master,2.6,166894.03
Backend Developer,PhD,1.9,129652.03
Data Engineer,Bachelor,6.6,199814.62
DevOps Engineer,PhD,2.3,144314.04
Data Engineer,Master,3.2,147850.03
DevOps Engineer,Bachelor,6.3,176554.45
Data Engineer,High School,4.5,161679.55
Data Scientist,Master,3.8,160199.54
Data Scientist,PhD,6.5,207291.78
DevOps Engineer,Bachelor,8.3,188179.69
Data Engineer,Bachelor,6.1,188918.93
AI Researcher,Bachelor,4.8,196964.0
Data Engineer,PhD,6.0,196953.61
ML Engineer,Master,11.5,281180.92
Data Engineer,Bachelor,7.5,201483.67
Software Engineer,Master,3.7,149922.79
ML Engineer,Bachelor,4.9,189589.74
Software Engineer,Master,7.3,186070.99
AI Researcher,Master,7.3,240268.78
Data Engineer,Master,6.2,184047.43
Data Scientist,High School,10.4,244536.0
Data Scientist,Bachelor,4.3,170699.17
Data Scientist,Master,6.7,199812.95
Data Scientist,Master,7.8,215222.58
Data Engineer,Master,2.2,146259.84
ML Engineer,PhD,5.7,216934.82
ML Engineer,Master,5.7,208273.61
ML Engineer,Master,1.4,147263.55
Data Scientist,Bachelor,2.5,147426.45
ML Engineer,Master,1.6,150425.65
AI Researcher,Bachelor,8.3,237764.33
AI Researcher,Bachelor,3.3,174202.28
AI Researcher,PhD,6.8,237173.03
ML Engineer,Bachelor,8.5,241520.22
DevOps Engineer,PhD,5.2,171930.98
Cloud Architect,PhD,5.1,230864.3
ML Engineer,Master,2.4,163146.31
Data Engineer,Master,6.4,184724.41
AI Researcher,Master,3.1,179524.96
Backend Developer,Bachelor,4.7,140644.02
DevOps Engineer,Master,4.7,153209.1
AI Researcher,High School,6.1,221297.55
Data Engineer,High School,4.7,171991.48
DevOps Engineer,PhD,5.2,171763.93
AI Researcher,High School,6.3,219205.86
Cloud Architect,High School,5.0,205649.56
Software Engineer,Bachelor,7.2,186582.96
Data Scientist,High School,4.1,173035.84
Data Engineer,Bachelor,5.5,186270.0
